"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"G***";"logoDramco2";1;"LOGO";;;
2;"G***";"logoKuleuven2";1;"LOGO";;;
3;"Z1";"D_SOD-523";1;"BZT52C4V7T-7";;;
4;"R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1.5k";;;
5;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
6;"CSTOR1,CIN1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7 uF";;;
7;"CREF1,CBYP1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10 nF";;;
8;"COUT1,CIN2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100n";;;
9;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100 nF";;;
10;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 uF";;;
11;"C12,C10,C9,C8,C7,C4,C3,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"1 uF";;;
12;"COUT2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22 uF";;;
13;"CSTOR2,CBATT1,COUT3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"DNP";;;
14;"U1";"BQ24040";1;"BQ24040";;;
15;"D1,D2,D3,D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
16;"J3";"USB_Micro";1;"USB_B_Micro";;;
17;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_battery";;;
18;"J5,J6";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06_programmer";;;
19;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
20;"L1";"Inductor_744031220_22uH";1;"22 uH";;;
21;"L2";"Inductor_744029100_10uH";1;"10 uH";;;
22;"R1,R6,R9,R13,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10k";;;
23;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
24;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k";;;
25;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"27k";;;
26;"R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8.2k";;;
27;"R14,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
28;"ROK3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.9 M";;;
29;"ROK2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.49 M";;;
30;"ROK1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.62M";;;
31;"ROUT2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8.25 M";;;
32;"ROUT1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.75 M";;;
33;"ROV2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"7.32 M";;;
34;"ROV1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.61 M";;;
35;"S3,S1";"SOT-23-6_Handsoldering";2;"TPS22860";;;
36;"U2";"QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm";1;"BQ25570";;;
37;"U3";"SOT-23-5_HandSoldering";1;"TPS705";;;
38;"U4";"PIC16F18446SSOP20PIN";1;"PIC16F18446";;;
39;"J2";"ConnectorHorizontalPcb";1;"Conn_02x03_motherboardconn";;;
40;"COUT4";"CP_Radial_D6.3mm_P2.50mm";1;"470 uF";;;
41;"R8";"R_LDR_5.1x4.3mm_P3.4mm_Vertical";1;"LDR03";;;
